Scale,n
Local >1 km² to 100 km² (neighbourhood to municipality),12
Multi-regional (multiple continents/geographic regions),7
National (whole country),43
Not applicable (no specific spatial location),64
"Regional (multiple countries, whole continents)",28
Site <1 km² (field to farm),2
Subnational >100 km² (watershed),34
