Actors,n
Civil Society and Community-Based Organisations,126
Financial Institutions,36
Global/Regional Institutions and Science-Policy Interfaces,81
IPLCs,22
Knowledge and Educational Communities,49
Local/National Governments and Municipalities,118
Media and the Arts,12
Private Sector and Business Organisations,88
NA,31
