Region,n
Australia and New Zealand,8
Central Asia,7
Eastern Asia,18
Eastern Europe,9
Latin America and the Caribbean,24
Melanesia,2
Micronesia,2
Northern Africa,5
Northern America,18
Northern Europe,17
Not applicable (no specific spatial location),64
Polynesia,1
South-eastern Asia,14
Southern Asia,24
Southern Europe,17
Sub-Saharan Africa,35
Western Asia,10
Western Europe,19
