Scale,n
Local >1 km² to 100 km² (neighbourhood to municipality),2
Multi-regional (multiple continents/geographic regions),1
National (whole country),5
Not applicable (no specific spatial location),5
"Regional (multiple countries, whole continents)",5
Subnational >100 km² (watershed),9
