Actors,n
Civil Society and Community-Based Organisations,17
Financial Institutions,5
Global/Regional Institutions and Science-Policy Interfaces,10
IPLCs,1
Knowledge and Educational Communities,7
Local/National Governments and Municipalities,19
Media and the Arts,2
Private Sector and Business Organisations,13
NA,3
