Actors,n
Civil Society and Community-Based Organisations,10
Financial Institutions,2
Global/Regional Institutions and Science-Policy Interfaces,8
IPLCs,2
Knowledge and Educational Communities,7
Local/National Governments and Municipalities,19
Private Sector and Business Organisations,13
NA,6
